"id.exper","descrip","exper","elapsed.time","id","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","temperature","pressure","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"A1-E2","FIA","2",0,"A1","17012017",1520,"1520",185,826.2,0,0,826.2,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,0,0,0,0,0,0,837.24,20,1.01325,0,0,0,0,NA,NA,"vol"
"A1-E2","FIA","2",1.00486111111111,"A1","18012017",1613,"1527",220,826.2,0.959,790,825.3,NA,"17-02-2017 11:40:12",0.5566,2017-01-18 15:27:00,2017-01-17 15:20:00,0.900000000000091,0.900000000000091,0,0.900000000000091,0.900000000000091,0,0.547,837.24,20,1.01325,719.061209977331,394.105565189683,719.061209977331,394.105565189683,715.582683045858,392.199042068517,"vol"
"A1-E2","FIA","2",1.82152777777778,"A1","19012017",1114,"1103",233,825.3,0.966,790,824.3,NA,"06-02-2017 15:30:33",0.5135,2017-01-19 11:03:00,2017-01-17 15:20:00,1,1,0,1.90000000000009,1.90000000000009,0,0.5017,837.24,20,1.01325,719.061209977331,361.539184362705,1438.12241995466,755.644749552388,880.483114257957,442.701042076781,"vol"
"A1-E2","FIA","2",2.97916666666667,"A1","20012017",1523,"1450",265,824.3,0.564,449,823.8,NA,"02-02-2017 18:22:23",0.5491,2017-01-20 14:50:00,2017-01-17 15:20:00,0.5,0.5,0,2.40000000000009,2.40000000000009,0,0.5491,837.24,20,1.01325,408.681624404838,224.84951073286,1846.8040443595,980.494260285248,353.030317422295,194.231131046982,"vol"
"A1-E2","FIA","2",4.62291666666667,"A1","22012017",625,"0617",280,823.8,0.338,260,823.5,NA,"10-02-2017 21:06:28",0.5605,2017-01-22 06:17:00,2017-01-17 15:20:00,0.299999999999955,0.299999999999955,0,2.70000000000005,2.70000000000005,0,0.5491,837.24,20,1.01325,236.653056448236,130.202389288516,2083.45710080774,1110.69664957376,143.971441185238,79.2105790348385,"vol"
"A1-E2","FIA","2",6.75208333333333,"A1","24012017",1018,"0923",313,823.4,0.241,184,823.2,NA,"03-02-2017 09:13:31",0.5753,2017-01-24 09:23:00,2017-01-17 15:20:00,0.299999999999955,0.199999999999932,0.100000000000023,3,2.89999999999998,0.100000000000023,0.565,837.24,20,1.01325,167.47754764029,94.8047813189758,2250.93464844803,1205.50143089274,78.65873078996,44.5267074687949,"vol"
"A1-E2","FIA","2",11.1263888888889,"A1","28012017",1829,"1822",328,823.2,0.251,200,823,NA,"09-02-2017 14:30:48",0.5765,2017-01-28 18:22:00,2017-01-17 15:20:00,0.200000000000045,0.200000000000045,0,3.20000000000005,3.10000000000002,0.100000000000023,0.5654,837.24,20,1.01325,182.040812652489,103.121449814773,2432.97546110051,1308.62288070751,41.6159343101419,23.5743590622754,"vol"
"A1-E2","FIA","2",14.7868055555556,"A1","01022017",1053,"1013",367,823,0.13,95,822.9,NA,"20-02-2017 14:51:03",0.5689,2017-02-01 10:13:00,2017-01-17 15:20:00,0.100000000000023,0.100000000000023,0,3.30000000000007,3.20000000000005,0.100000000000023,0.5689,837.24,20,1.01325,86.4693860099322,49.2851523874259,2519.44484711045,1357.90803309494,23.6228260015751,13.4643558030532,"vol"
"A1-E2","FIA","2",20.0701388888889,"A1","06022017",1759,"1701",391,822.9,0.137,97,822.8,NA,"08-02-2017 16:25:28",0.5839,2017-02-06 17:01:00,2017-01-17 15:20:00,0.100000000000023,0.100000000000023,0,3.40000000000009,3.30000000000007,0.100000000000023,0.5721,837.24,20,1.01325,88.2897941364571,50.6050863932596,2607.7346412469,1408.5131194882,16.7110020447553,9.57824979052233,"vol"
"A1-E2","FIA","2",31.0743055555556,"A1","17022017",1707,"1707",397,822.8,0.169,123,822.6,"Initial mass (822.4) below final mass even after removing 123 mL biogas. Must be data recording error but which one? Suspect mass.init, so set to previous mass.final value. This is the most consitent explanation.","27-02-2017 12:44:19",0.5813,2017-02-17 17:07:00,2017-01-17 15:20:00,0.199999999999932,0.199999999999932,0,3.60000000000002,3.5,0.100000000000023,0.5813,837.24,20,1.01325,111.955099781281,65.1986276971934,2719.68974102818,1473.71174718539,10.1738826003436,5.92490369077108,"vol"
"A2-E2","FIA","2",0,"A2","17012017",1520,"1520",186,842.7,0,0,842.7,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,0,0,0,0,0,0,823.13,20,1.01325,0,0,0,0,NA,NA,"vol"
